input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
Mole Valley,,,England,Surrey,Mole Valley,GBR.1.98.4_1
New Forest,,,England,Hampshire,New Forest,GBR.1.38.8_1
Newark and Sherwood,,,England,Nottinghamshire,Newark and Sherwood,GBR.1.67.6_1
Newcastle upon Tyne,,,England,Newcastle upon Tyne,Newcastle upon Tyne,GBR.1.58.1_1
Newcastle-under-Lyme,,,England,Staffordshire,Newcastle-under-Lyme,GBR.1.92.4_1
Newham,,,England,Greater London,Newham,GBR.1.36.25_1
North Devon,,,England,Devon,North Devon,GBR.1.26.4_1
North East Derbyshire,,,England,Derbyshire,North East Derbyshire,GBR.1.25.7_1
North East Lincolnshire,,,England,Lincolnshire,North East Lincolnshire,GBR.1.52.4_1
North Hertfordshire,,,England,Hertfordshire,North Hertfordshire,GBR.1.41.5_1
North Kesteven,,,England,Lincolnshire,North Kesteven,GBR.1.52.5_1
North Lincolnshire,,,England,North Lincolnshire,North Lincolnshire,GBR.1.60.1_1
North Norfolk,,,England,Norfolk,North Norfolk,GBR.1.59.4_1
North Somerset,,,England,North Somerset,North Somerset,GBR.1.61.1_1
North Tyneside,,,England,North Tyneside,North Tyneside,GBR.1.62.1_1
North Warwickshire,,,England,Warwickshire,North Warwickshire,GBR.1.108.1_1
North West Leicestershire,,,England,Leicestershire,North West Leicestershire,GBR.1.51.6_1
Northampton,,,England,Northamptonshire,Northampton,GBR.1.64.5_1
Northumberland,,,England,Northumberland,Northumberland,GBR.1.65.1_1
Norwich,,,England,Norfolk,Norwich,GBR.1.59.5_1
Nottingham,,,England,Nottingham,Nottingham,GBR.1.66.1_1
Nuneaton and Bedworth,,,England,Warwickshire,Nuneaton and Bedworth,GBR.1.108.2_1
Oadby and Wigston,,,England,Leicestershire,Oadby and Wigston,GBR.1.51.7_1
Oldham,,,England,Oldham,Oldham,GBR.1.68.1_1
Oxford,,,England,Oxfordshire,Oxford,GBR.1.69.2_1
Pendle,,,England,Lancashire,Pendle,GBR.1.48.6_1
Peterborough,,,England,Peterborough,Peterborough,GBR.1.70.1_1
Plymouth,,,England,Plymouth,Plymouth,GBR.1.71.1_1
Portsmouth,,,England,Portsmouth,Portsmouth,GBR.1.73.1_1
Preston,,,England,Lancashire,Preston,GBR.1.48.7_1
Reading,,,England,Reading,Reading,GBR.1.74.1_1
Redbridge,,,England,Greater London,Redbridge,GBR.1.36.26_1
Redcar and Cleveland,,,England,Redcar and Cleveland,Redcar and Cleveland,GBR.1.75.1_1
Redditch,,,England,Worcestershire,Redditch,GBR.1.117.3_1
Reigate and Banstead,,,England,Surrey,Reigate and Banstead,GBR.1.98.5_1
Ribble Valley,,,England,Lancashire,Ribble Valley,GBR.1.48.8_1
Richmond upon Thames,,,England,Greater London,Richmond upon Thames,GBR.1.36.27_1
Richmondshire,,,England,North Yorkshire,Richmondshire,GBR.1.63.4_1
Rochdale,,,England,Rochdale,Rochdale,GBR.1.76.1_1
Rochford,,,England,Essex,Rochford,GBR.1.33.10_1
Rossendale,,,England,Lancashire,Rossendale,GBR.1.48.9_1
Rother,,,England,East Sussex,Rother,GBR.1.32.4_1
Rotherham,,,England,Rotherham,Rotherham,GBR.1.77.1_1
Rugby,,,England,Warwickshire,Rugby,GBR.1.108.3_1
Runnymede,,,England,Surrey,Runnymede,GBR.1.98.6_1
Rushcliffe,,,England,Nottinghamshire,Rushcliffe,GBR.1.67.7_1
Rushmoor,,,England,Hampshire,Rushmoor,GBR.1.38.9_1
Rutland,,,England,Rutland,Rutland,GBR.1.78.1_1
Ryedale,,,England,North Yorkshire,Ryedale,GBR.1.63.5_1
Salford,,,England,Salford,Salford,GBR.1.80.1_1
Sandwell,,,England,Sandwell,Sandwell,GBR.1.81.1_1
Scarborough,,,England,North Yorkshire,Scarborough,GBR.1.63.6_1
Sedgemoor,,,England,Somerset,Sedgemoor,GBR.1.87.2_1
Sefton,,,England,Sefton,Sefton,GBR.1.82.2_1
Selby,,,England,North Yorkshire,Selby,GBR.1.63.7_1
Sevenoaks,,,England,Kent,Sevenoaks,GBR.1.44.7_1
Sheffield,,,England,Sheffield,Sheffield,GBR.1.83.1_1
Shropshire,,,England,Shropshire,Shropshire,GBR.1.84.1_1
Slough,,,England,Slough,Slough,GBR.1.85.1_1
Solihull,,,England,Solihull,Solihull,GBR.1.86.1_1
Somerset West and Taunton,,,England,Somerset,Somerset West and Taunton,GBR.1.87.4_1:GBR.1.87.5_1
South Bucks,,,England,Buckinghamshire,South Bucks,GBR.1.13.3_1
South Cambridgeshire,,,England,Cambridgeshire,South Cambridgeshire,GBR.1.16.6_1
South Derbyshire,,,England,Derbyshire,South Derbyshire,GBR.1.25.8_1
South Gloucestershire,,,England,South Gloucestershire,South Gloucestershire,GBR.1.88.1_1
South Hams,,,England,Devon,South Hams,GBR.1.26.5_1
South Holland,,,England,Lincolnshire,South Holland,GBR.1.52.6_1
South Kesteven,,,England,Lincolnshire,South Kesteven,GBR.1.52.7_1
South Lakeland,,,England,Cumbria,South Lakeland,GBR.1.22.6_1
South Norfolk,,,England,Norfolk,South Norfolk,GBR.1.59.6_1
South Northamptonshire,,,England,Northamptonshire,South Northamptonshire,GBR.1.64.6_1
South Oxfordshire,,,England,Oxfordshire,South Oxfordshire,GBR.1.69.3_1
South Ribble,,,England,Lancashire,South Ribble,GBR.1.48.10_1
South Somerset,,,England,Somerset,South Somerset,GBR.1.87.3_1
South Staffordshire,,,England,Staffordshire,South Staffordshire,GBR.1.92.5_1
South Tyneside,,,England,South Tyneside,South Tyneside,GBR.1.89.1_1
Southampton,,,England,Southampton,Southampton,GBR.1.90.1_1
Southend-on-Sea,,,England,Southend-on-Sea,Southend-on-Sea,GBR.1.91.1_1
Southwark,,,England,Greater London,Southwark,GBR.1.36.28_1
Spelthorne,,,England,Surrey,Spelthorne,GBR.1.98.7_1
St Albans,,,England,Hertfordshire,Saint Albans,GBR.1.41.6_1
St. Helens,,,England,Saint Helens,Saint Helens,GBR.1.79.1_1
Stafford,,,England,Staffordshire,Stafford,GBR.1.92.6_1
Staffordshire Moorlands,,,England,Staffordshire,Staffordshire Moorlands,GBR.1.92.7_1
Stevenage,,,England,Hertfordshire,Stevenage,GBR.1.41.7_1
Stockport,,,England,Stockport,Stockport,GBR.1.93.1_1
Stockton-on-Tees,,,England,Stockton-on-Tees,Stockton-on-Tees,GBR.1.94.1_1
Stoke-on-Trent,,,England,Stoke-on-Trent,Stoke-on-Trent,GBR.1.95.1_1
Stratford-on-Avon,,,England,Warwickshire,Stratford-on-Avon,GBR.1.108.4_1
Stroud,,,England,Gloucestershire,Stroud,GBR.1.35.5_1
Sunderland,,,England,Sunderland,Sunderland,GBR.1.97.1_1
Surrey Heath,,,England,Surrey,Surrey Heath,GBR.1.98.8_1
