input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
ACT,,,Australian Capital Territory,,,AUS.2_1
NSW,,,New South Wales,,,AUS.5_1
NT,,,Northern Territory,,,AUS.6_1
QLD,,,Queensland,,,AUS.7_1
SA,,,South Australia,,,AUS.8_1
TAS,,,Tasmania,,,AUS.9_1
VIC,,,Victoria,,,AUS.10_1
WA,,,Western Australia,,,AUS.11_1
