countrycode, input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
PRT,Portugal,,,,,,PRT
PRT,ARS Norte,,,Norte,,,PRT.1.4_1:PRT.1.6_1:PRT.1.7_1:PRT.1.15_1:PRT.1.12_1:PRT.1.16_1:PRT.1.19_1:PRT.4_1:PRT.5_1:PRT.10.14_1:PRT.15_1:PRT.18_1:PRT.19_1:PRT.20.1_1:PRT.20.4_1:PRT.20.5_1:PRT.20.7_1:PRT.20.12_1:PRT.20.13_1:PRT.20.15_1:PRT.20.18_1:PRT.20.19_1:PRT.20.20_1
PRT,ARS Centro,,,Centro,,,PRT.1.1_1:PRT.1.2_1:PRT.1.3_1:PRT.1.5_1:PRT.1.8_1:PRT.1.9_1:PRT.1.10_1:PRT.1.11_1:PRT.1.13_1:PRT.1.14_1:PRT.1.17_1:PRT.1.18_1:PRT.6.1_1:PRT.6.2_1:PRT.6.3_1:PRT.6.4_1:PRT.6.5_1:PRT.6.6_1:PRT.6.7_1:PRT.6.8_1:PRT.6.11_1:PRT.7_1:PRT.10.1_1:PRT.10.2_1:PRT.10.3_1:PRT.10.4_1:PRT.10.5_1:PRT.10.6_1:PRT.10.7_1:PRT.10.8_1:PRT.10.9_1:PRT.10.10_1:PRT.10.11_1:PRT.10.12_1:PRT.10.13_1:PRT.11.2_1:PRT.11.3_1:PRT.11.4_1:PRT.11.7_1:PRT.11.8_1:PRT.11.9_1:PRT.11.10_1:PRT.11.13_1:PRT.11.15_1:PRT.11.16_1:PRT.20.2_1:PRT.20.3_1:PRT.20.6_1:PRT.20.8_1:PRT.20.9_1:PRT.20.10_1:PRT.20.11_1:PRT.20.14_1:PRT.20.16_1:PRT.20.17_1:PRT.20.21_1:PRT.20.22_1:PRT.20.23_1:PRT.20.24_1
PRT,ARS Lisboa e Vale do Tejo,,,ARS Lisboa e Vale do Tejo,,,PRT.6.9_1:PRT.6.10_1:PRT.11.1_1:PRT.11.5_1:PRT.11.6_1:PRT.11.11_1:PRT.11.12_1:PRT.11.14_1:PRT.12_1:PRT.16_1:PRT.17.2_1:PRT.17.3_1:PRT.17.4_1:PRT.17.6_1:PRT.17.7_1:PRT.17.8_1:PRT.17.10_1:PRT.17.11_1:PRT.17.12_1
PRT,ARS Alentejo,,,Alentejo,,,PRT.3_1:PRT.8_1:PRT.14_1:PRT.17.1_1:PRT.17.5_1:PRT.17.9_1:PRT.17.13_1
PRT,ARS Algarve,,,Algarve,,,PRT.9_1
PRT,Região Autónoma dos Açores,,,Azores,,,PRT.2_1
PRT,Região Autónoma da Madeira,,,Madeira,,,PRT.13_1
PRT,estrangeiro,,,Overseas,,,None
